"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Throughput (128K)","Linux Reserved cost"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","875.0 MB/s","$3822.8202 monthly"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","625.0 MB/s","$2548.5468 monthly"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","167760 GB                 (12 * 13980 GB NVMe HDD)","40 Gigabit","500.0 MB/s","$1911.1400 monthly"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","350.0 MB/s","$1274.5800 monthly"
"I3EN 24xlarge","i3en.24xlarge","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$5393.2400 monthly"
"I3EN Metal","i3en.metal","768.0 GiB","96 vCPUs","60000 GB                 (8 * 7500 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$5393.2400 monthly"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","55920 GB                 (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","212.5 MB/s","$637.2900 monthly"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","500.0 MB/s","$2347.6800 monthly"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","47520 GB                 (24 * 1980 GB NVMe HDD)","25 Gigabit","625.0 MB/s","$2421.1326 monthly"
"P5 48xlarge","p5.48xlarge","2048.0 GiB","192 vCPUs","30400 GB                 (8 * 3800 GB NVMe SSD)","3200 Gigabit","10000.0 MB/s","unavailable"
"I3EN 12xlarge","i3en.12xlarge","384.0 GiB","48 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","1187.5 MB/s","$2696.6200 monthly"
"I4I Metal","i4i.metal","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","5000.0 MB/s","$5202.7100 monthly"
"I4I 32xlarge","i4i.32xlarge","1024.0 GiB","128 vCPUs","30000 GB                 (8 * 3750 GB NVMe SSD)","75 Gigabit","5000.0 MB/s","$5202.3888 monthly"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","100 Gigabit","5000.0 MB/s","$2725.0608 monthly"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","32 vCPUs","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","2500.0 MB/s","$2295.4558 monthly"
"D3EN Extra Large","d3en.xlarge","16.0 GiB","4 vCPUs","27960 GB                 (2 * 13980 GB NVMe HDD)","Up to 25 Gigabit","106.25 MB/s","$318.2800 monthly"
"D2 Quadruple Extra Large","d2.4xlarge","122.0 GiB","16 vCPUs","24576 GB                 (12 * 2048 GB HDD)","High","250.0 MB/s","$1173.8400 monthly"
"D3 Quadruple Extra Large","d3.4xlarge","128.0 GiB","16 vCPUs","23760 GB                 (12 * 1980 GB NVMe HDD)","Up to 15 Gigabit","350.0 MB/s","$1210.3400 monthly"
"I4I 24xlarge","i4i.24xlarge","768.0 GiB","96 vCPUs","22500 GB                 (6 * 3750 GB NVMe SSD)","56.25 Gigabit","3750.0 MB/s","$3901.7916 monthly"
"H1 16xlarge","h1.16xlarge","256.0 GiB","64 vCPUs","16000 GB                 (8 * 2000 GB HDD)","25 Gigabit","1750.0 MB/s","$1857.8500 monthly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","64 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","1750.0 MB/s","$2501.7100 monthly"
"I3 High I/O Metal","i3.metal","512.0 GiB","72 vCPUs","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2501.7100 monthly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","24 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","593.75 MB/s","$1348.3100 monthly"
"I4I 16xlarge","i4i.16xlarge","512.0 GiB","64 vCPUs","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","2500.0 MB/s","$2600.9900 monthly"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","25 Gigabit","1250.0 MB/s","$1147.7279 monthly"
"I4G 16xlarge","i4g.16xlarge","512.0 GiB","64 vCPUs","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","2500.0 MB/s","$2341.1976 monthly"
"IM4GN Eight Extra Large","im4gn.8xlarge","128.0 GiB","32 vCPUs","15000 GB                 (2 * 7500 GB NVMe SSD)","50 Gigabit","2500.0 MB/s","$1362.5304 monthly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","12288 GB                 (6 * 2048 GB HDD)","High","125.0 MB/s","$586.9200 monthly"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","8 vCPUs","11880 GB                 (6 * 1980 GB NVMe HDD)","Up to 15 Gigabit","212.5 MB/s","$605.1700 monthly"
"I4I 12xlarge","i4i.12xlarge","384.0 GiB","48 vCPUs","11250 GB                 (3 * 3750 GB NVMe SSD)","28.12 Gigabit","1875.0 MB/s","$1950.5600 monthly"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB                 (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","2375.0 MB/s","$14728.1135 monthly"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","32 vCPUs","8000 GB                 (4 * 2000 GB HDD)","10 Gigabit","875.0 MB/s","$928.5600 monthly"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","12500.0 MB/s","$5751.0276 monthly"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","5000.0 MB/s","$3492.2981 monthly"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","5000.0 MB/s","$2967.8880 monthly"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","5000.0 MB/s","$4439.5680 monthly"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","5000.0 MB/s","$2967.8880 monthly"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","5000.0 MB/s","$4439.5680 monthly"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","12500.0 MB/s","$4683.4756 monthly"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","5000.0 MB/s","$3492.2981 monthly"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","7600 GB                 (2 * 3800 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$7490.8512 monthly"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","12500.0 MB/s","$5751.0276 monthly"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","32 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","10 Gigabit","875.0 MB/s","$1251.2200 monthly"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","200 Gigabit","12500.0 MB/s","$4683.4756 monthly"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","10000.0 MB/s","$9657.1335 monthly"
"G6E 48xlarge","g6e.48xlarge","1536.0 GiB","192 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","400 Gigabit","7500.0 MB/s","$13857.3272 monthly"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","10000.0 MB/s","$11130.4049 monthly"
"G6 Graphics and Machine Learning GPU 48xlarge","g6.48xlarge","768.0 GiB","192 vCPUs","7520 GB                 (8 * 940 GB NVMe SSD)","100 Gigabit","7500.0 MB/s","$6344.5103 monthly"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","7500 GB                 NVMe SSD","25 Gigabit","1250.0 MB/s","$681.2652 monthly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","475.0 MB/s","$674.5200 monthly"
"I4I Eight Extra Large","i4i.8xlarge","256.0 GiB","32 vCPUs","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","1250.0 MB/s","$1300.8600 monthly"
"I4G Eight Extra Large","i4g.8xlarge","256.0 GiB","32 vCPUs","7500 GB                 (2 * 3750 GB NVMe SSD)","18.75 Gigabit","1250.0 MB/s","$1170.5988 monthly"
"IS4GEN Double Extra Large","is4gen.2xlarge","48.0 GiB","8 vCPUs","7500 GB                 NVMe SSD","Up to 25 Gigabit","625.0 MB/s","$573.8603 monthly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","6400 GB                 (8 * 800 GB SSD)","10 Gigabit","0 MB/s","$2476.1600 monthly"
"D2 Extra Large","d2.xlarge","30.5 GiB","4 vCPUs","6144 GB                 (3 * 2048 GB HDD)","Moderate","93.75 MB/s","$293.4600 monthly"
"D3 Extra Large","d3.xlarge","32.0 GiB","4 vCPUs","5940 GB                 (3 * 1980 GB NVMe HDD)","Up to 15 Gigabit","106.25 MB/s","$302.9500 monthly"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","3750.0 MB/s","$3329.6760 monthly"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","3750.0 MB/s","$2619.2254 monthly"
"C6ID 24xlarge","c6id.24xlarge","192.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","3750.0 MB/s","$2225.9160 monthly"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","9375.0 MB/s","$4313.2707 monthly"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","150 Gigabit","9375.0 MB/s","$3512.6067 monthly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","5000 GB                 (2 * 2500 GB NVMe SSD)","Up to 25 Gigabit","288.3875 MB/s","$449.6800 monthly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","16 vCPUs","4000 GB                 (2 * 2000 GB HDD)","Up to 10 Gigabit","437.5 MB/s","$464.2800 monthly"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","4000 GB                 (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","2375.0 MB/s","$6028.8510 monthly"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","1750.0 MB/s","$12005.5800 monthly"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","3840 GB                 (2 * 1920 GB SSD)","25 Gigabit","1750.0 MB/s","$5999.8700 monthly"
"X2IEDN 32xlarge","x2iedn.32xlarge","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","10000.0 MB/s","$11982.0302 monthly"
"X2IDN Metal","x2idn.metal","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","10000.0 MB/s","$5991.0151 monthly"
"R7GD Metal","r7gd.metal","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","2500.0 MB/s","$1997.7910 monthly"
"R6ID 16xlarge","r6id.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2500.0 MB/s","$2219.7840 monthly"
"G6E 12xlarge","g6e.12xlarge","384.0 GiB","48 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","2500.0 MB/s","$4825.5628 monthly"
"M6ID 16xlarge","m6id.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2500.0 MB/s","$1746.1454 monthly"
"M7GD 16xlarge","m7gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","2500.0 MB/s","$1571.5440 monthly"
"X2IEDN Metal","x2iedn.metal","4096.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","10000.0 MB/s","$11982.0302 monthly"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","3800 GB                 NVMe SSD","40 Gigabit","2000.0 MB/s","$2608.5528 monthly"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","6250.0 MB/s","$2875.5138 monthly"
"X2GD Metal","x2gd.metal","1024.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2404.0360 monthly"
"M6GD 16xlarge","m6gd.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$1330.4250 monthly"
"C5AD 24xlarge","c5ad.24xlarge","192.0 GiB","96 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","20 Gigabit","1187.5 MB/s","$1898.7300 monthly"
"C6ID 16xlarge","c6id.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2500.0 MB/s","$1483.9440 monthly"
"M7GD Metal","m7gd.metal","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","2500.0 MB/s","$1571.5440 monthly"
"M6GD Metal","m6gd.metal","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$1330.4250 monthly"
"C7GD Metal","c7gd.metal","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","2500.0 MB/s","$1335.5350 monthly"
"R7GD 16xlarge","r7gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","2500.0 MB/s","$1997.7910 monthly"
"M6IDN 16xlarge","m6idn.16xlarge","256.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","6250.0 MB/s","$2341.7378 monthly"
"C7GD 16xlarge","c7gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","2500.0 MB/s","$1335.5350 monthly"
"G6E 24xlarge","g6e.24xlarge","768.0 GiB","96 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","200 Gigabit","3750.0 MB/s","$6928.6636 monthly"
"C6GD 16xlarge","c6gd.16xlarge","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$1130.2590 monthly"
"X2IDN 32xlarge","x2idn.32xlarge","2048.0 GiB","128 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","10000.0 MB/s","$5991.0151 monthly"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","3800 GB                 NVMe SSD","50 Gigabit","2375.0 MB/s","$3745.4256 monthly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","Up to 10 Gigabit","437.5 MB/s","$625.6100 monthly"
"X2GD 16xlarge","x2gd.16xlarge","1024.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2404.0360 monthly"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$1695.3520 monthly"
"R6GD Metal","r6gd.metal","512.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$1695.3520 monthly"
"C6GD Metal","c6gd.metal","128.0 GiB","64 vCPUs","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$1130.2590 monthly"
"G6 Graphics and Machine Learning GPU 12xlarge","g6.12xlarge","192.0 GiB","48 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","40 Gigabit","2500.0 MB/s","$2186.8172 monthly"
"G6 Graphics and Machine Learning GPU 24xlarge","g6.24xlarge","384.0 GiB","96 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","50 Gigabit","3750.0 MB/s","$3172.2588 monthly"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","3760 GB                 (4 * 940 GB NVMe SSD)","25 Gigabit","1750.0 MB/s","$6515.2500 monthly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","625.0 MB/s","$650.4300 monthly"
"I4G Quadruple Extra Large","i4g.4xlarge","128.0 GiB","16 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","625.0 MB/s","$585.2994 monthly"
"IM4GN Double Extra Large","im4gn.2xlarge","32.0 GiB","8 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","625.0 MB/s","$340.6326 monthly"
"IS4GEN Extra Large","is4gen.xlarge","24.0 GiB","4 vCPUs","3750 GB                 NVMe SSD","Up to 25 Gigabit","312.5 MB/s","$286.9338 monthly"
"C5 High-CPU 24xlarge","c5d.24xlarge","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2119.1900 monthly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2119.1900 monthly"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$3179.1500 monthly"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2494.4100 monthly"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$3002.4900 monthly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$2494.4100 monthly"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","1696.25 MB/s","$2891.5300 monthly"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$3686.5000 monthly"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","1718.75 MB/s","$2273.9500 monthly"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$3686.5000 monthly"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","2375.0 MB/s","$3002.4900 monthly"
"R5D Metal","r5d.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","2375.0 MB/s","$3179.1500 monthly"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","16 vCPUs","3200 GB                 (4 * 800 GB SSD)","High","250.0 MB/s","$1238.0800 monthly"
"R6IDN 12xlarge","r6idn.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","4687.5 MB/s","$2156.6390 monthly"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","1875.0 MB/s","$1112.9580 monthly"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","1875.0 MB/s","$1309.6127 monthly"
"X2IEDN 24xlarge","x2iedn.24xlarge","3072.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","7500.0 MB/s","$8986.5263 monthly"
"M6GD 12xlarge","m6gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","1781.25 MB/s","$997.7640 monthly"
"M6IDN 12xlarge","m6idn.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","4687.5 MB/s","$1756.2997 monthly"
"C7GD 12xlarge","c7gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","1875.0 MB/s","$1001.6330 monthly"
"X2IDN 24xlarge","x2idn.24xlarge","1536.0 GiB","96 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","7500.0 MB/s","$4493.2595 monthly"
"R6ID 12xlarge","r6id.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","18.75 Gigabit","1875.0 MB/s","$1664.8380 monthly"
"R6GD 12xlarge","r6gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","1781.25 MB/s","$1271.5140 monthly"
"R7GD 12xlarge","r7gd.12xlarge","384.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","1875.0 MB/s","$1498.3250 monthly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","1781.25 MB/s","$847.6760 monthly"
"M7GD 12xlarge","m7gd.12xlarge","192.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","22.5 Gigabit","1875.0 MB/s","$1178.6580 monthly"
"X2GD 12xlarge","x2gd.12xlarge","768.0 GiB","48 vCPUs","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","1781.25 MB/s","$1803.0270 monthly"
"I3EN Extra Large","i3en.xlarge","32.0 GiB","4 vCPUs","2500 GB                 NVMe SSD","Up to 25 Gigabit","144.2 MB/s","$224.8400 monthly"
"M5AD 16xlarge","m5ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","1187.5 MB/s","$1515.4800 monthly"
"R5D 16xlarge","r5d.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","1700.0 MB/s","$2119.1900 monthly"
"M5DN 16xlarge","m5dn.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","1700.0 MB/s","$2001.6600 monthly"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","1187.5 MB/s","$1927.9300 monthly"
"M5 General Purpose 16xlarge","m5d.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","1700.0 MB/s","$1662.9400 monthly"
"R5DN 16xlarge","r5dn.16xlarge","512.0 GiB","64 vCPUs","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","1700.0 MB/s","$2457.9100 monthly"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","64 vCPUs","2400 GB                 (2 * 1200 GB NVMe SSD)","20 Gigabit","787.5 MB/s","$1265.8200 monthly"
"G4AD 16xlarge","g4ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB                 (2 * 1200 GB NVMe SSD)","25 Gigabit","787.5 MB/s","$1594.9332 monthly"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","8 vCPUs","2000 GB                 HDD","Up to 10 Gigabit","218.75 MB/s","$232.1400 monthly"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","875.0 MB/s","$6002.7900 monthly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","875.0 MB/s","$3000.3000 monthly"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","1250.0 MB/s","$1109.8920 monthly"
"R6IDN Eight Extra Large","r6idn.8xlarge","256.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","3125.0 MB/s","$1437.7569 monthly"
"X2IEDN 16xlarge","x2iedn.16xlarge","2048.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","5000.0 MB/s","$5991.0151 monthly"
"M6ID Eight Extra Large","m6id.8xlarge","128.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","1250.0 MB/s","$873.0727 monthly"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","8 vCPUs","1900 GB                 NVMe SSD","Up to 10 Gigabit","212.5 MB/s","$312.4400 monthly"
"X2IDN 16xlarge","x2idn.16xlarge","1024.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","5000.0 MB/s","$2995.5112 monthly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","1900 GB                 NVMe SSD","12.5 Gigabit","1250.0 MB/s","$741.9720 monthly"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","25 Gigabit","2000.0 MB/s","$1883.7504 monthly"
