"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$4415.0400 monthly","$2920.5475 monthly","$1288.3770 monthly"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","25000 Mbps","3125.0 MB/s","100000 IOPS","25000 Mbps","3125.0 MB/s","100000 IOPS","$1324.5120 monthly","$834.4411 monthly","$491.5820 monthly"
"M6G Large","m6g.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","4750 Mbps","78.75 MB/s","20000 IOPS","$56.2100 monthly","$35.2590 monthly","$16.6440 monthly"
"C6IN 16xlarge","c6in.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","50000 Mbps","6250.0 MB/s","200000 IOPS","50000 Mbps","6250.0 MB/s","200000 IOPS","$2649.0240 monthly","$1668.8822 monthly","$781.0270 monthly"
"R7G Quadruple Extra Large","r7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$625.4640 monthly","$413.7640 monthly","$209.2910 monthly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","EBS only","50 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$1009.1520 monthly","$636.9323 monthly","$270.1730 monthly"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","650 Mbps","81.25 MB/s","4000 IOPS","4750 Mbps","81.25 MB/s","20000 IOPS","$62.0500 monthly","$39.4200 monthly","$23.8710 monthly"
"M6I Extra Large","m6i.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$140.1600 monthly","$92.7173 monthly","$47.6690 monthly"
"R7A 24xlarge","r7a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$5331.3360 monthly","$3526.6811 monthly","$963.8190 monthly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","7000 Mbps","875.0 MB/s","37500 IOPS","7000 Mbps","875.0 MB/s","37500 IOPS","$1553.4400 monthly","$981.1200 monthly","$435.2260 monthly"
"R7IZ 32xlarge","r7iz.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$8689.9200 monthly","$5474.6496 monthly","$2156.3470 monthly"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","EBS only","10 Gigabit","6780 Mbps","847.5 MB/s","30000 IOPS","6780 Mbps","847.5 MB/s","30000 IOPS","$1506.7200 monthly","$949.0000 monthly","$492.8960 monthly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","2880 Mbps","360.0 MB/s","16000 IOPS","2880 Mbps","360.0 MB/s","16000 IOPS","$659.9200 monthly","$416.1000 monthly","$227.2490 monthly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","14000 Mbps","1750.0 MB/s","75000 IOPS","14000 Mbps","1750.0 MB/s","75000 IOPS","$3106.8800 monthly","$1962.2400 monthly","$812.7090 monthly"
