"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"T3A Large","t3a.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","695 Mbps","86.875 MB/s","4000 IOPS","2780 Mbps","86.875 MB/s","15700 IOPS","$54.8960 monthly","$34.3830 monthly","$14.6730 monthly"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","90 Mbps","11.25 MB/s","500 IOPS","2085 Mbps","11.25 MB/s","11800 IOPS","$6.8620 monthly","$4.3070 monthly","$2.4090 monthly"
"M4 General Purpose Quadruple Extra Large","m4.4xlarge","64.0 GiB","16 vCPUs","EBS only","High","2000 Mbps","250.0 MB/s","16000 IOPS","2000 Mbps","250.0 MB/s","16000 IOPS","$584.0000 monthly","$361.7880 monthly","$150.3070 monthly"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","EBS only","10 Gigabit","3170 Mbps","396.25 MB/s","13300 IOPS","3170 Mbps","396.25 MB/s","13300 IOPS","$899.3600 monthly","$566.4800 monthly","$318.2800 monthly"
"C5A Double Extra Large","c5a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","800 Mbps","100.0 MB/s","3200 IOPS","3170 Mbps","100.0 MB/s","13300 IOPS","$224.8400 monthly","$141.6200 monthly","$81.1760 monthly"
"R7IZ Large","r7iz.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","792 Mbps","99.0 MB/s","3600 IOPS","10000 Mbps","99.0 MB/s","40000 IOPS","$135.7800 monthly","$85.5414 monthly","$20.7320 monthly"
"M5ZN Double Extra Large","m5zn.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","3170 Mbps","396.25 MB/s","13333 IOPS","3170 Mbps","396.25 MB/s","13333 IOPS","$482.3110 monthly","$303.8260 monthly","$211.1890 monthly"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","EBS only","50 Gigabit","25000 Mbps","3125.0 MB/s","100000 IOPS","25000 Mbps","3125.0 MB/s","100000 IOPS","$1626.2064 monthly","$1024.5112 monthly","$603.4180 monthly"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","EBS only","150 Gigabit","75000 Mbps","9375.0 MB/s","300000 IOPS","75000 Mbps","9375.0 MB/s","300000 IOPS","$4878.6192 monthly","$3073.5336 monthly","$2156.3470 monthly"
"R7IZ Metal-32xl","r7iz.metal-32xl","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$8689.9200 monthly","$5474.6496 monthly","$1151.6480 monthly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","96 vCPUs","EBS only","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3363.8400 monthly","$2119.1900 monthly","$473.4780 monthly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","EBS only","10 Gigabit","4000 Mbps","500.0 MB/s","32000 IOPS","4000 Mbps","500.0 MB/s","32000 IOPS","$1161.4300 monthly","$735.8400 monthly","$349.3050 monthly"
"C7I 24xlarge","c7i.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3127.3200 monthly","$2068.7251 monthly","$836.3610 monthly"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","38000 Mbps","4750.0 MB/s","160000 IOPS","38000 Mbps","4750.0 MB/s","160000 IOPS","$59787.0000 monthly","$36849.7211 monthly","unavailable"
"M5N Extra Large","m5n.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","18750 IOPS","$173.7400 monthly","$109.5000 monthly","$57.4510 monthly"
"C6I Quadruple Extra Large","c6i.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$496.4000 monthly","$328.3686 monthly","$139.5760 monthly"
"C6A Double Extra Large","c6a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$223.3800 monthly","$147.7666 monthly","$80.5920 monthly"
"G3 Graphics GPU 16xlarge","g3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","14000 Mbps","1750.0 MB/s","80000 IOPS","14000 Mbps","1750.0 MB/s","80000 IOPS","$3328.8000 monthly","$2271.9060 monthly","$836.1420 monthly"
"C7A 48xlarge","c7a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$7193.0112 monthly","$4758.1765 monthly","$2017.7200 monthly"
"M7I Double Extra Large","m7i.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$294.3360 monthly","$194.7056 monthly","$105.7770 monthly"
"R8G 16xlarge","r8g.16xlarge","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2752.2752 monthly","$1820.6273 monthly","$812.4900 monthly"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","4750 Mbps","78.75 MB/s","20000 IOPS","$73.5840 monthly","$46.3550 monthly","$18.9070 monthly"
"A1 Quadruple Extra Large","a1.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","3500 Mbps","437.5 MB/s","20000 IOPS","3500 Mbps","437.5 MB/s","20000 IOPS","$297.8400 monthly","$187.6100 monthly","$116.1430 monthly"
"R7IZ Metal-16xl","r7iz.metal-16xl","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$4344.9600 monthly","$2737.3248 monthly","$434.4960 monthly"
"R6IN Eight Extra Large","r6in.8xlarge","256.0 GiB","32 vCPUs","EBS only","50 Gigabit","25000 Mbps","3125.0 MB/s","100000 IOPS","25000 Mbps","3125.0 MB/s","100000 IOPS","$2036.1744 monthly","$1282.7925 monthly","$592.4680 monthly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1340.2800 monthly","$886.5923 monthly","$359.0140 monthly"
"R7I Double Extra Large","r7i.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$386.3160 monthly","$255.5511 monthly","$140.5250 monthly"
"M6A 16xlarge","m6a.16xlarge","256.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2018.3040 monthly","$1335.1116 monthly","$653.9340 monthly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1324.5120 monthly","$876.1679 monthly","$217.1750 monthly"
"R6I Eight Extra Large","r6i.8xlarge","256.0 GiB","32 vCPUs","EBS only","12.5 Gigabit","10000 Mbps","1250.0 MB/s","40000 IOPS","10000 Mbps","1250.0 MB/s","40000 IOPS","$1471.6800 monthly","$973.5134 monthly","$379.5270 monthly"
"C7I Metal-48xl","c7i.metal-48xl","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$6254.6400 monthly","$4137.4429 monthly","$957.6140 monthly"
"C8G Quadruple Extra Large","c8g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$465.7984 monthly","$306.9431 monthly","$63.3640 monthly"
"R7A Large","r7a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$111.0695 monthly","$73.4745 monthly","$28.9080 monthly"
"C8G Double Extra Large","c8g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$232.8992 monthly","$153.4752 monthly","$30.0760 monthly"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","43 Mbps","5.375 MB/s","250 IOPS","2085 Mbps","5.375 MB/s","11800 IOPS","$3.0660 monthly","$1.8980 monthly","$1.0220 monthly"
"C7GN Metal","c7gn.metal","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","33333 Mbps","4166.625 MB/s","133333 IOPS","40000 Mbps","4166.625 MB/s","160000 IOPS","$2915.3280 monthly","$1836.6800 monthly","$296.3070 monthly"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","32 vCPUs","EBS only","25 Gigabit","6800 Mbps","850.0 MB/s","30000 IOPS","6800 Mbps","850.0 MB/s","30000 IOPS","$1389.9200 monthly","$876.0000 monthly","$548.9600 monthly"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2943.3600 monthly","$1947.0341 monthly","$773.4350 monthly"
"M8G 24xlarge","m8g.24xlarge","384.0 GiB","96 vCPUs","EBS only","40 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$3145.1904 monthly","$2080.5438 monthly","$403.6900 monthly"
"C7GN Double Extra Large","c7gn.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 50 Gigabit","4167 Mbps","520.875 MB/s","16667 IOPS","10000 Mbps","520.875 MB/s","40000 IOPS","$364.4160 monthly","$229.5850 monthly","$87.7460 monthly"
"HPC7A 24xlarge","hpc7a.24xlarge","768.0 GiB","48 vCPUs","EBS only","300 Gigabit","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","unavailable","unavailable","unavailable"
"C6A 24xlarge","c6a.24xlarge","192.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$2680.5600 monthly","$1773.1919 monthly","$684.5940 monthly"
"C5A Large","c5a.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","200 Mbps","25.0 MB/s","800 IOPS","3170 Mbps","25.0 MB/s","13300 IOPS","$56.2100 monthly","$35.7700 monthly","$22.7030 monthly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","EBS only","20 Gigabit","14250 Mbps","1781.25 MB/s","50000 IOPS","14250 Mbps","1781.25 MB/s","50000 IOPS","$1191.3600 monthly","$750.5860 monthly","$209.7290 monthly"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","14000 Mbps","1750.0 MB/s","80000 IOPS","14000 Mbps","1750.0 MB/s","80000 IOPS","$17870.4000 monthly","$12196.8400 monthly","$4621.0460 monthly"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","60000 Mbps","7500.0 MB/s","260000 IOPS","60000 Mbps","7500.0 MB/s","260000 IOPS","$5220.9600 monthly","$3289.2048 monthly","$2516.9670 monthly"
"C7A Double Extra Large","c7a.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$299.7088 monthly","$198.2607 monthly","$105.6310 monthly"
"M8G Large","m8g.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","630 Mbps","78.75 MB/s","3600 IOPS","10000 Mbps","78.75 MB/s","40000 IOPS","$65.5248 monthly","$43.3474 monthly","$8.1760 monthly"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1513.7280 monthly","$1001.3337 monthly","$453.3300 monthly"
"C7GN Medium","c7gn.medium","2.0 GiB","1 vCPUs","EBS only","Up to 25 Gigabit","521 Mbps","65.125 MB/s","2083 IOPS","10000 Mbps","65.125 MB/s","40000 IOPS","$45.5520 monthly","$28.6890 monthly","$4.5990 monthly"
"M6IN Quadruple Extra Large","m6in.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 50 Gigabit","12500 Mbps","1562.5 MB/s","50000 IOPS","25000 Mbps","1562.5 MB/s","100000 IOPS","$813.1032 monthly","$512.2556 monthly","$389.8200 monthly"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$504.5760 monthly","$333.7779 monthly","$197.3190 monthly"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$735.8400 monthly","$486.7567 monthly","$275.6480 monthly"
"R5 12xlarge","r5.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","9500 Mbps","1187.5 MB/s","40000 IOPS","9500 Mbps","1187.5 MB/s","40000 IOPS","$2207.5200 monthly","$1390.6500 monthly","$687.0760 monthly"
"INF1 24xlarge","inf1.24xlarge","192.0 GiB","96 vCPUs","EBS only","100 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$3446.3300 monthly","$2171.0200 monthly","$584.8030 monthly"
"R7A 32xlarge","r7a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$7108.4480 monthly","$4702.2366 monthly","$1055.5070 monthly"
"C7A 16xlarge","c7a.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$2397.6704 monthly","$1586.0564 monthly","$759.1270 monthly"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","19000 Mbps","2375.0 MB/s","80000 IOPS","19000 Mbps","2375.0 MB/s","80000 IOPS","$2978.4000 monthly","$1876.1000 monthly","$744.6000 monthly"
"M5ZN Extra Large","m5zn.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 25 Gigabit","1564 Mbps","195.5 MB/s","6667 IOPS","3170 Mbps","195.5 MB/s","13333 IOPS","$241.1190 monthly","$151.9130 monthly","$96.2870 monthly"
"C7GN 16xlarge","c7gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","33333 Mbps","4166.625 MB/s","133333 IOPS","40000 Mbps","4166.625 MB/s","160000 IOPS","$2915.3280 monthly","$1836.6800 monthly","$293.3870 monthly"
"C5A 16xlarge","c5a.16xlarge","128.0 GiB","64 vCPUs","EBS only","20 Gigabit","6300 Mbps","787.5 MB/s","26700 IOPS","6300 Mbps","787.5 MB/s","26700 IOPS","$1798.7200 monthly","$1132.9600 monthly","$550.6390 monthly"
"M7I 12xlarge","m7i.12xlarge","192.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$1766.0160 monthly","$1168.2190 monthly","$502.6780 monthly"
"P2 General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","4 vCPUs","EBS only","High","750 Mbps","93.75 MB/s","6000 IOPS","750 Mbps","93.75 MB/s","6000 IOPS","$657.0000 monthly","$448.2200 monthly","$178.4120 monthly"
"C7G Medium","c7g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$26.4990 monthly","$17.4470 monthly","$7.5920 monthly"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","38000 Mbps","4750.0 MB/s","160000 IOPS","38000 Mbps","4750.0 MB/s","160000 IOPS","$79716.0000 monthly","$49132.9566 monthly","unavailable"
"R5 Extra Large","r5.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","1150 Mbps","143.75 MB/s","6000 IOPS","4750 Mbps","143.75 MB/s","18750 IOPS","$183.9600 monthly","$116.0700 monthly","$56.5020 monthly"
"C7GN 12xlarge","c7gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","150 Gigabit","25000 Mbps","3125.0 MB/s","100000 IOPS","30000 Mbps","3125.0 MB/s","120000 IOPS","$2186.4960 monthly","$1377.5100 monthly","$296.6720 monthly"
"M8G Double Extra Large","m8g.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$262.0992 monthly","$173.3750 monthly","$33.2150 monthly"
"P5E 48xlarge","p5e.48xlarge","2048.0 GiB","192 vCPUs","EBS only","3200 Gigabit","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","unavailable","unavailable","unavailable"
"C7I Large","c7i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","650 Mbps","81.25 MB/s","3600 IOPS","10000 Mbps","81.25 MB/s","40000 IOPS","$65.1525 monthly","$43.0992 monthly","$23.5060 monthly"
"R6I 32xlarge","r6i.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","160000 IOPS","40000 Mbps","5000.0 MB/s","160000 IOPS","$5886.7200 monthly","$3894.0682 monthly","$1662.7210 monthly"
"M7G Medium","m7g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$29.7840 monthly","$19.7100 monthly","$8.1030 monthly"
"T2 Extra Large","t2.xlarge","16.0 GiB","4 vCPUs                                                         for a                   5h 24m                   burst","EBS only","Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$135.4880 monthly","$83.9500 monthly","$38.8360 monthly"
"C4 High-CPU Large","c4.large","3.75 GiB","2 vCPUs","EBS only","Moderate","500 Mbps","62.5 MB/s","4000 IOPS","500 Mbps","62.5 MB/s","4000 IOPS","$73.0000 monthly","$45.9900 monthly","$23.5790 monthly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","4750 Mbps","593.75 MB/s","20000 IOPS","4750 Mbps","593.75 MB/s","20000 IOPS","$630.7200 monthly","$397.1200 monthly","$267.0340 monthly"
"M6I Quadruple Extra Large","m6i.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 12.5 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$560.6400 monthly","$370.8619 monthly","$200.8230 monthly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","8333 IOPS","2880 Mbps","197.5 MB/s","16000 IOPS","$329.9600 monthly","$208.0500 monthly","$138.2620 monthly"
"R8G Double Extra Large","r8g.2xlarge","64.0 GiB","8 vCPUs","EBS only","Up to 15 Gigabit","2500 Mbps","312.5 MB/s","12000 IOPS","10000 Mbps","312.5 MB/s","40000 IOPS","$344.0344 monthly","$227.5775 monthly","$150.0150 monthly"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","4750 Mbps","593.75 MB/s","18750 IOPS","4750 Mbps","593.75 MB/s","18750 IOPS","$870.1600 monthly","$548.2300 monthly","$256.6680 monthly"
"T2 Medium","t2.medium","4.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$33.8720 monthly","$20.9510 monthly","$8.8330 monthly"
"R6IN Extra Large","r6in.xlarge","32.0 GiB","4 vCPUs","EBS only","Up to 30 Gigabit","3125 Mbps","390.625 MB/s","12500 IOPS","25000 Mbps","390.625 MB/s","100000 IOPS","$254.5218 monthly","$160.3518 monthly","$83.2930 monthly"
"M7A Medium","m7a.medium","4.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","325 Mbps","40.625 MB/s","2500 IOPS","10000 Mbps","40.625 MB/s","40000 IOPS","$42.3108 monthly","$27.9882 monthly","$12.3370 monthly"
"R7I 12xlarge","r7i.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","15000 Mbps","1875.0 MB/s","60000 IOPS","15000 Mbps","1875.0 MB/s","60000 IOPS","$2317.8960 monthly","$1533.2847 monthly","$646.4880 monthly"
"M7I-FLEX Double Extra Large","m7i-flex.2xlarge","32.0 GiB","8 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$279.6192 monthly","$184.9528 monthly","$97.9660 monthly"
"M6A Metal","m6a.metal","768.0 GiB","192 vCPUs","EBS only","50 Gigabit","40000 Mbps","5000.0 MB/s","240000 IOPS","40000 Mbps","5000.0 MB/s","240000 IOPS","$6054.9120 monthly","$4005.3275 monthly","$837.3100 monthly"
"T2 Large","t2.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Low to Moderate","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","$67.7440 monthly","$41.9750 monthly","$20.2940 monthly"
"C7A Extra Large","c7a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25 MB/s","6000 IOPS","10000 Mbps","156.25 MB/s","40000 IOPS","$149.8544 monthly","$99.1267 monthly","$51.3920 monthly"
"M7G Extra Large","m7g.xlarge","16.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","1250 Mbps","156.25039999999998 MB/s","6000 IOPS","10000 Mbps","156.25039999999998 MB/s","40000 IOPS","$119.1360 monthly","$78.8400 monthly","$38.6170 monthly"
"C5A Quadruple Extra Large","c5a.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","1580 Mbps","197.5 MB/s","6600 IOPS","3170 Mbps","197.5 MB/s","13300 IOPS","$449.6800 monthly","$283.2400 monthly","$169.9440 monthly"
"M7G Quadruple Extra Large","m7g.4xlarge","64.0 GiB","16 vCPUs","EBS only","Up to 15 Gigabit","5000 Mbps","625.0 MB/s","20000 IOPS","10000 Mbps","625.0 MB/s","40000 IOPS","$476.5440 monthly","$315.2140 monthly","$200.6040 monthly"
"M6G Medium","m6g.medium","4.0 GiB","1 vCPUs","EBS only","Up to 10 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","4750 Mbps","39.375 MB/s","20000 IOPS","$28.1050 monthly","$17.5930 monthly","$8.4680 monthly"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$1906.1760 monthly","$1260.9290 monthly","$270.5380 monthly"
"M5 General Purpose 16xlarge","m5.16xlarge","256.0 GiB","64 vCPUs","EBS only","20 Gigabit","13600 Mbps","1700.0 MB/s","60000 IOPS","13600 Mbps","1700.0 MB/s","60000 IOPS","$2242.5600 monthly","$1412.5500 monthly","$608.0170 monthly"
"R7G Medium","r7g.medium","8.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$39.1280 monthly","$25.8420 monthly","$11.8990 monthly"
"C8G Medium","c8g.medium","2.0 GiB","1 vCPUs","EBS only","Up to 12.5 Gigabit","315 Mbps","39.375 MB/s","2500 IOPS","10000 Mbps","39.375 MB/s","40000 IOPS","$29.1124 monthly","$19.1844 monthly","$3.7230 monthly"
"R8G Metal-24xl","r8g.metal-24xl","768.0 GiB","96 vCPUs","EBS only","40 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$4128.4128 monthly","$2730.9446 monthly","$461.5790 monthly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","48 vCPUs","EBS only","10 Gigabit","6780 Mbps","847.5 MB/s","30000 IOPS","6780 Mbps","847.5 MB/s","30000 IOPS","$1979.7600 monthly","$1247.5700 monthly","$554.8730 monthly"
"M7A 24xlarge","m7a.24xlarge","384.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$4061.8368 monthly","$2686.9037 monthly","$1333.6370 monthly"
"M4 General Purpose Large","m4.large","8.0 GiB","2 vCPUs","EBS only","Moderate","450 Mbps","56.25 MB/s","3600 IOPS","450 Mbps","56.25 MB/s","3600 IOPS","$73.0000 monthly","$45.2600 monthly","$25.7690 monthly"
"C8G 16xlarge","c8g.16xlarge","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","20000 Mbps","2500.0 MB/s","80000 IOPS","20000 Mbps","2500.0 MB/s","80000 IOPS","$1863.1936 monthly","$1227.7797 monthly","$235.6440 monthly"
"R7I 24xlarge","r7i.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","30000 Mbps","3750.0 MB/s","120000 IOPS","30000 Mbps","3750.0 MB/s","120000 IOPS","$4635.7920 monthly","$3066.5767 monthly","$1236.8390 monthly"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","N/A","0 MB/s","0 IOPS","N/A","0 MB/s","0 IOPS","unavailable","unavailable","unavailable"
