Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
T3 Extra Large,t3.xlarge,16.0 GiB,4 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,$0.1728 hourly,$0.1089 hourly,$0.0527 hourly,$0.2464 hourly,$0.1825 hourly,695.00,2780.00,86.88,347.50,4000.00,15700.00
M7G Extra Large,m7g.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1734 hourly,$0.1147 hourly,$0.0514 hourly,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R5DN Large,r5dn.large,16.0 GiB,2 vCPUs,75 GB                 NVMe SSD,Up to 25 Gigabit,$0.1770 hourly,$0.1115 hourly,$0.0481 hourly,$0.2690 hourly,$0.2035 hourly,650.00,4750.00,81.25,593.75,3600.00,18750.00
I4I Large,i4i.large,16.0 GiB,2 vCPUs,468 GB                 NVMe SSD,Up to 10 Gigabit,$0.1790 hourly,$0.1170 hourly,$0.0521 hourly,$0.2710 hourly,$0.2090 hourly,625.00,10000.00,78.12,1250.00,2500.00,40000.00
C7I-FLEX Extra Large,c7i-flex.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1815 hourly,$0.1201 hourly,$0.0514 hourly,$0.3564 hourly,$0.2949 hourly,625.00,10000.00,78.12,1250.00,3600.00,40000.00
C5 High-CPU Extra Large,c5.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.1820 hourly,$0.1150 hourly,$0.0608 hourly,$0.3660 hourly,$0.2990 hourly,1150.00,4750.00,143.75,593.75,6000.00,20000.00
C6I Extra Large,c6i.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1820 hourly,$0.1204 hourly,$0.0555 hourly,$0.3660 hourly,$0.3044 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
C6GN Extra Large,c6gn.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.1860 hourly,$0.1176 hourly,$0.0516 hourly,unavailable,unavailable,2375.00,9500.00,296.88,1187.50,10000.00,40000.00
R6IN Large,r6in.large,16.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.1860 hourly,$0.1167 hourly,$0.0513 hourly,$0.2780 hourly,$0.2087 hourly,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
C7I Extra Large,c7i.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1911 hourly,$0.1264 hourly,$0.0588 hourly,$0.3751 hourly,$0.3104 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M6GD Extra Large,m6gd.xlarge,16.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 10 Gigabit,$0.1920 hourly,$0.1218 hourly,$0.0546 hourly,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
C7GD Extra Large,c7gd.xlarge,8.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.1966 hourly,$0.1238 hourly,$0.0515 hourly,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M7I-FLEX Extra Large,m7i-flex.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2035 hourly,$0.1346 hourly,$0.0614 hourly,$0.3783 hourly,$0.3094 hourly,625.00,10000.00,78.12,1250.00,3600.00,40000.00
M5 General Purpose Extra Large,m5.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.2040 hourly,$0.1290 hourly,$0.0550 hourly,$0.3880 hourly,$0.3130 hourly,1150.00,4750.00,143.75,593.75,6000.00,18750.00
M6I Extra Large,m6i.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2040 hourly,$0.1349 hourly,$0.0592 hourly,$0.3880 hourly,$0.3190 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R6IDN Large,r6idn.large,16.0 GiB,2 vCPUs,118 GB                 NVMe SSD,Up to 25 Gigabit,$0.2071 hourly,$0.1305 hourly,$0.0574 hourly,$0.2991 hourly,$0.2225 hourly,1562.00,25000.00,195.31,3125.00,6250.00,100000.00
C5 High-CPU Extra Large,c5d.xlarge,8.0 GiB,4 vCPUs,100 GB                 NVMe SSD,Up to 10 Gigabit,$0.2080 hourly,$0.1310 hourly,$0.0621 hourly,$0.3920 hourly,$0.3150 hourly,1150.00,4750.00,143.75,593.75,6000.00,20000.00
R6G Extra Large,r6g.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.2140 hourly,$0.1344 hourly,$0.0624 hourly,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
M7I Extra Large,m7i.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2142 hourly,$0.1417 hourly,$0.0732 hourly,$0.3982 hourly,$0.3257 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
C7A Extra Large,c7a.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2198 hourly,$0.1454 hourly,$0.0582 hourly,$0.4038 hourly,$0.3294 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
M7GD Extra Large,m7gd.xlarge,16.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 12.5 Gigabit,$0.2268 hourly,$0.1429 hourly,$0.0624 hourly,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R7G Extra Large,r7g.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2278 hourly,$0.1435 hourly,$0.0660 hourly,unavailable,unavailable,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.2320 hourly,$0.1460 hourly,$0.0623 hourly,$0.4160 hourly,$0.3300 hourly,1150.00,4750.00,143.75,593.75,6000.00,20000.00
I3EN Large,i3en.large,16.0 GiB,2 vCPUs,1250 GB                 NVMe SSD,Up to 25 Gigabit,$0.2370 hourly,$0.1620 hourly,$0.0647 hourly,$0.3290 hourly,$0.2540 hourly,576.00,4750.00,72.10,593.75,3000.00,20000.00
M5 General Purpose Extra Large,m5d.xlarge,16.0 GiB,4 vCPUs,150 GB                 NVMe SSD,Up to 10 Gigabit,$0.2400 hourly,$0.1510 hourly,$0.0636 hourly,$0.4240 hourly,$0.3350 hourly,1150.00,4750.00,143.75,593.75,6000.00,18750.00
INF1 Extra Large,inf1.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.2420 hourly,$0.1530 hourly,$0.0641 hourly,unavailable,unavailable,1190.00,4750.00,148.75,593.75,4000.00,20000.00
R6GD Extra Large,r6gd.xlarge,32.0 GiB,4 vCPUs,237 GB                 NVMe SSD,Up to 10 Gigabit,$0.2432 hourly,$0.1532 hourly,$0.0692 hourly,unavailable,unavailable,1188.00,4750.00,148.50,593.75,6000.00,20000.00
C6IN Extra Large,c6in.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2436 hourly,$0.1535 hourly,$0.0690 hourly,$0.4276 hourly,$0.3375 hourly,3125.00,25000.00,390.62,3125.00,12500.00,100000.00
M7A Extra Large,m7a.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2463 hourly,$0.1629 hourly,$0.0711 hourly,$0.4303 hourly,$0.3469 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R6I Extra Large,r6i.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2680 hourly,$0.1688 hourly,$0.0752 hourly,$0.4520 hourly,$0.3528 hourly,1250.00,10000.00,156.25,1250.00,6000.00,40000.00
R5 Extra Large,r5.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.2680 hourly,$0.1690 hourly,$0.0726 hourly,$0.4520 hourly,$0.3530 hourly,1150.00,4750.00,143.75,593.75,6000.00,18750.00
