Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost,Baseline bandwidth (Mbps),Maximum bandwidth (Mbps),"Baseline throughput (MB/s, 128 KiB I/O)","Maximum throughput (MB/s, 128 KiB I/O)",Baseline IOPS (16 KiB I/O),Maximum IOPS (16 KiB I/O)
M5 General Purpose 16xlarge,m5d.16xlarge,256.0 GiB,64 vCPUs,2400 GB                 (4 * 600 GB NVMe SSD),20 Gigabit,$3.8400 hourly,$2.4190 hourly,$0.9929 hourly,$6.7840 hourly,$5.3630 hourly
R7A 12xlarge,r7a.12xlarge,384.0 GiB,48 vCPUs,EBS only,18.75 Gigabit,$3.8832 hourly,$2.5687 hourly,$1.0334 hourly,$6.0912 hourly,$4.7767 hourly
R6GD 16xlarge,r6gd.16xlarge,512.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,$3.8912 hourly,$2.4515 hourly,$0.9943 hourly,unavailable,unavailable
R6GD Metal,r6gd.metal,512.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,$3.8912 hourly,$2.4515 hourly,$1.0758 hourly,unavailable,unavailable
C6IN 16xlarge,c6in.16xlarge,128.0 GiB,64 vCPUs,EBS only,100 Gigabit,$3.8976 hourly,$2.4555 hourly,$1.0186 hourly,$6.8416 hourly,$5.3995 hourly
C5A 24xlarge,c5a.24xlarge,192.0 GiB,96 vCPUs,EBS only,20 Gigabit,$3.9360 hourly,$2.4800 hourly,$1.1026 hourly,$8.3520 hourly,$6.8960 hourly
M7A 16xlarge,m7a.16xlarge,256.0 GiB,64 vCPUs,EBS only,25 Gigabit,$3.9411 hourly,$2.6071 hourly,$1.3013 hourly,$6.8851 hourly,$5.5511 hourly
M6IDN 12xlarge,m6idn.12xlarge,192.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,$3.9840 hourly,$2.5015 hourly,$1.1437 hourly,$6.1920 hourly,$4.7096 hourly
G4DN 12xlarge,g4dn.12xlarge,192.0 GiB,48 vCPUs,900 GB                 NVMe SSD,50 Gigabit,$4.1500 hourly,$2.6140 hourly,$1.2956 hourly,$6.3580 hourly,$4.8220 hourly
C5N 18xlarge,c5n.18xlarge,192.0 GiB,72 vCPUs,EBS only,100 Gigabit,$4.1760 hourly,$2.6310 hourly,$1.1354 hourly,$7.4880 hourly,$5.9430 hourly
C5N Metal,c5n.metal,192.0 GiB,72 vCPUs,EBS only,100 Gigabit,$4.1760 hourly,$2.6310 hourly,$1.1332 hourly,$7.4880 hourly,$5.9430 hourly
R5DN 12xlarge,r5dn.12xlarge,384.0 GiB,48 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),50 Gigabit,$4.2480 hourly,$2.6762 hourly,$1.1120 hourly,$6.4560 hourly,$4.8842 hourly
R5 16xlarge,r5.16xlarge,512.0 GiB,64 vCPUs,EBS only,20 Gigabit,$4.2880 hourly,$2.7010 hourly,$1.1098 hourly,$7.2320 hourly,$5.6450 hourly
R6I 16xlarge,r6i.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,$4.2880 hourly,$2.7014 hourly,$1.2385 hourly,$7.2320 hourly,$5.6454 hourly
I4I 12xlarge,i4i.12xlarge,384.0 GiB,48 vCPUs,11250 GB                 (3 * 3750 GB NVMe SSD),28.12 Gigabit,$4.3030 hourly,$2.8050 hourly,$1.1746 hourly,$6.5110 hourly,$5.0130 hourly
G5 Graphics and Machine Learning GPU 16xlarge,g5.16xlarge,256.0 GiB,64 vCPUs,1900 GB                 NVMe SSD,25 Gigabit,$4.3444 hourly,$2.7370 hourly,$1.2196 hourly,$7.2884 hourly,$5.6810 hourly
C5 High-CPU Metal,c5.metal,192.0 GiB,96 vCPUs,EBS only,25 Gigabit,$4.3680 hourly,$2.7520 hourly,$1.1239 hourly,$8.7840 hourly,$7.1680 hourly
C6I 24xlarge,c6i.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.3680 hourly,$2.8894 hourly,$1.1966 hourly,$8.7840 hourly,$7.3054 hourly
C5 High-CPU 24xlarge,c5.24xlarge,192.0 GiB,96 vCPUs,EBS only,25 Gigabit,$4.3680 hourly,$2.7520 hourly,$1.2276 hourly,$8.7840 hourly,$7.1680 hourly
R6IN 12xlarge,r6in.12xlarge,384.0 GiB,48 vCPUs,EBS only,75 Gigabit,$4.4647 hourly,$2.8006 hourly,$1.2391 hourly,$6.6727 hourly,$5.0086 hourly
R7I 16xlarge,r7i.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,$4.5024 hourly,$2.9783 hourly,$1.2649 hourly,$7.4464 hourly,$5.9223 hourly
C7I Metal-24xl,c7i.metal-24xl,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.5864 hourly,$3.0339 hourly,$1.1888 hourly,$9.0024 hourly,$7.4499 hourly
C7I 24xlarge,c7i.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.5864 hourly,$3.0339 hourly,$1.2526 hourly,$9.0024 hourly,$7.4499 hourly
R7GD Metal,r7gd.metal,512.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,$4.5965 hourly,$2.8958 hourly,$1.2343 hourly,unavailable,unavailable
R7GD 16xlarge,r7gd.16xlarge,512.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),30 Gigabit,$4.5965 hourly,$2.8958 hourly,$1.2294 hourly,unavailable,unavailable
G4DN 16xlarge,g4dn.16xlarge,256.0 GiB,64 vCPUs,900 GB                 NVMe SSD,50 Gigabit,$4.6170 hourly,$2.9090 hourly,$1.2239 hourly,$7.5610 hourly,$5.8530 hourly
M6IN 16xlarge,m6in.16xlarge,256.0 GiB,64 vCPUs,EBS only,100 Gigabit,$4.7360 hourly,$2.9737 hourly,$1.2327 hourly,$7.6800 hourly,$5.9177 hourly
R5D 16xlarge,r5d.16xlarge,512.0 GiB,64 vCPUs,2400 GB                 (4 * 600 GB NVMe SSD),20 Gigabit,$4.8640 hourly,$3.0640 hourly,$1.2992 hourly,$7.8080 hourly,$6.0080 hourly
G6 Graphics and Machine Learning GPU 12xlarge,g6.12xlarge,192.0 GiB,48 vCPUs,3760 GB                 (4 * 940 GB NVMe SSD),40 Gigabit,$4.8806 hourly,$3.1773 hourly,$0.5335 hourly,$7.0886 hourly,$5.3853 hourly
M6I 24xlarge,m6i.24xlarge,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$4.8960 hourly,$3.2387 hourly,$1.2491 hourly,$9.3120 hourly,$7.6547 hourly
M5 General Purpose 24xlarge,m5.24xlarge,384.0 GiB,96 vCPUs,EBS only,25 Gigabit,$4.8960 hourly,$3.0840 hourly,$1.2832 hourly,$9.3120 hourly,$7.5000 hourly
M5 General Purpose Metal,m5.metal,384.0 GiB,96 vCPUs,EBS only,25 Gigabit,$4.8960 hourly,$3.0840 hourly,$1.2474 hourly,$9.3120 hourly,$7.5000 hourly
R6IDN 12xlarge,r6idn.12xlarge,384.0 GiB,48 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,$4.9702 hourly,$3.1312 hourly,$1.3426 hourly,$7.1782 hourly,$5.3392 hourly
C5 High-CPU 24xlarge,c5d.24xlarge,192.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,$4.9920 hourly,$3.1450 hourly,$1.4309 hourly,$9.4080 hourly,$7.5610 hourly
C5 High-CPU Metal,c5d.metal,192.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,$4.9920 hourly,$3.1450 hourly,$1.3675 hourly,$9.4080 hourly,$7.5610 hourly
INF1 24xlarge,inf1.24xlarge,192.0 GiB,96 vCPUs,EBS only,100 Gigabit,$5.0160 hourly,$3.1600 hourly,$1.3437 hourly,unavailable,unavailable
R5B 16xlarge,r5b.16xlarge,512.0 GiB,64 vCPUs,EBS only,20 Gigabit,$5.0541 hourly,$3.1841 hourly,$1.3716 hourly,$7.9981 hourly,$6.1281 hourly
R5N 16xlarge,r5n.16xlarge,512.0 GiB,64 vCPUs,EBS only,75 Gigabit,$5.0880 hourly,$3.1920 hourly,$1.4361 hourly,$8.0320 hourly,$6.1360 hourly
M7I Metal-24xl,m7i.metal-24xl,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$5.1408 hourly,$3.4006 hourly,$1.4240 hourly,$9.5568 hourly,$7.8166 hourly
M7I 24xlarge,m7i.24xlarge,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$5.1408 hourly,$3.4006 hourly,$1.3334 hourly,$9.5568 hourly,$7.8166 hourly
R7A 16xlarge,r7a.16xlarge,512.0 GiB,64 vCPUs,EBS only,25 Gigabit,$5.1776 hourly,$3.4250 hourly,$1.7235 hourly,$8.1216 hourly,$6.3690 hourly
I3 High I/O 16xlarge,i3.16xlarge,488.0 GiB,64 vCPUs,15200 GB                 (8 * 1900 GB NVMe SSD),25 Gigabit,$5.2160 hourly,$3.5660 hourly,$1.4428 hourly,$8.1600 hourly,$6.5100 hourly
I3 High I/O Metal,i3.metal,512.0 GiB,72 vCPUs,15200 GB                 (8 * 1900 GB NVMe SSD),25 Gigabit,$5.2160 hourly,$3.5660 hourly,$1.3933 hourly,$8.1600 hourly,$6.5100 hourly
C7A 24xlarge,c7a.24xlarge,192.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$5.2742 hourly,$3.4889 hourly,$1.4864 hourly,$9.6902 hourly,$7.9049 hourly
M6IDN 16xlarge,m6idn.16xlarge,256.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,$5.3120 hourly,$3.3354 hourly,$1.3532 hourly,$8.2560 hourly,$6.2794 hourly
D2 Eight Extra Large,d2.8xlarge,244.0 GiB,36 vCPUs,49152 GB                 (24 * 2048 GB HDD),10 Gigabit,$5.5840 hourly,$3.0490 hourly,$3.5247 hourly,$7.2400 hourly,$4.7050 hourly
R5DN 16xlarge,r5dn.16xlarge,512.0 GiB,64 vCPUs,2400 GB                 (4 * 600 GB NVMe SSD),75 Gigabit,$5.6640 hourly,$3.5683 hourly,$1.6076 hourly,$8.6080 hourly,$6.5123 hourly
I3EN 12xlarge,i3en.12xlarge,384.0 GiB,48 vCPUs,30000 GB                 (4 * 7500 GB NVMe SSD),50 Gigabit,$5.6880 hourly,$3.8870 hourly,$1.5438 hourly,$7.8960 hourly,$6.0950 hourly
I4I 16xlarge,i4i.16xlarge,512.0 GiB,64 vCPUs,15000 GB                 (4 * 3750 GB NVMe SSD),37.5 Gigabit,$5.7380 hourly,$3.7400 hourly,$2.1562 hourly,$8.6820 hourly,$6.6840 hourly
M5 General Purpose 24xlarge,m5d.24xlarge,384.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,$5.7600 hourly,$3.6290 hourly,$1.6185 hourly,$10.1760 hourly,$8.0450 hourly
M5 General Purpose Metal,m5d.metal,384.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,$5.7600 hourly,$3.6290 hourly,$1.5137 hourly,$10.1760 hourly,$8.0450 hourly
C6I Metal,c6i.metal,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,$5.8240 hourly,$3.8526 hourly,$1.6015 hourly,$11.7120 hourly,$9.7406 hourly
C6I 32xlarge,c6i.32xlarge,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,$5.8240 hourly,$3.8526 hourly,$1.7001 hourly,$11.7120 hourly,$9.7406 hourly
C6IN 24xlarge,c6in.24xlarge,192.0 GiB,96 vCPUs,EBS only,150 Gigabit,$5.8464 hourly,$3.6832 hourly,$1.5842 hourly,$10.2624 hourly,$8.0992 hourly
M7A 24xlarge,m7a.24xlarge,384.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$5.9117 hourly,$3.9106 hourly,$1.6045 hourly,$10.3277 hourly,$8.3266 hourly
R6IN 16xlarge,r6in.16xlarge,512.0 GiB,64 vCPUs,EBS only,100 Gigabit,$5.9530 hourly,$3.7341 hourly,$1.5507 hourly,$8.8970 hourly,$6.6781 hourly
G5 Graphics and Machine Learning GPU 12xlarge,g5.12xlarge,192.0 GiB,48 vCPUs,3800 GB                 NVMe SSD,40 Gigabit,$6.0159 hourly,$3.7900 hourly,$1.9111 hourly,$8.2239 hourly,$5.9980 hourly
HPC6ID 32xlarge,hpc6id.32xlarge,1024.0 GiB,64 vCPUs,EBS only,200 Gigabit,$6.0352 hourly,$4.0556 hourly,unavailable,$8.9792 hourly,$6.9996 hourly,87.00,2085.00,10.88,260.62,500.00,11000.00
R5 Metal,r5.metal,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,$6.4320 hourly,$4.0520 hourly,$1.6997 hourly,$10.8480 hourly,$8.4680 hourly
R5 24xlarge,r5.24xlarge,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,$6.4320 hourly,$4.0520 hourly,$1.7964 hourly,$10.8480 hourly,$8.4680 hourly
R6I 24xlarge,r6i.24xlarge,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$6.4320 hourly,$4.0522 hourly,$1.7937 hourly,$10.8480 hourly,$8.4682 hourly
M6I 32xlarge,m6i.32xlarge,512.0 GiB,128 vCPUs,EBS only,50 Gigabit,$6.5280 hourly,$4.3183 hourly,$1.7669 hourly,$12.4160 hourly,$10.2063 hourly
M6I Metal,m6i.metal,512.0 GiB,128 vCPUs,EBS only,50 Gigabit,$6.5280 hourly,$4.3183 hourly,$1.8376 hourly,$12.4160 hourly,$10.2063 hourly
R6IDN 16xlarge,r6idn.16xlarge,512.0 GiB,64 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,$6.6269 hourly,$4.1749 hourly,$1.6864 hourly,$9.5709 hourly,$7.1189 hourly
R7I Metal-24xl,r7i.metal-24xl,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$6.7536 hourly,$4.4675 hourly,$1.8357 hourly,$11.1696 hourly,$8.8835 hourly
R7I 24xlarge,r7i.24xlarge,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$6.7536 hourly,$4.4675 hourly,$1.7275 hourly,$11.1696 hourly,$8.8835 hourly
C7A 32xlarge,c7a.32xlarge,256.0 GiB,128 vCPUs,EBS only,50 Gigabit,$7.0323 hourly,$4.6519 hourly,$2.0188 hourly,$12.9203 hourly,$10.5399 hourly
G6 Graphics and Machine Learning GPU 24xlarge,g6.24xlarge,384.0 GiB,96 vCPUs,3760 GB                 (4 * 940 GB NVMe SSD),50 Gigabit,$7.0800 hourly,$4.6090 hourly,$0.7656 hourly,$11.4960 hourly,$9.0251 hourly
M6IN 24xlarge,m6in.24xlarge,384.0 GiB,96 vCPUs,EBS only,150 Gigabit,$7.1040 hourly,$4.4606 hourly,$1.8601 hourly,$11.5200 hourly,$8.8766 hourly
INF2 24xlarge,inf2.24xlarge,384.0 GiB,96 vCPUs,EBS only,50 Gigabit,$7.1397 hourly,$4.4980 hourly,$1.9078 hourly,unavailable,unavailable
R5D 24xlarge,r5d.24xlarge,768.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,$7.2960 hourly,$4.5960 hourly,$1.9037 hourly,$11.7120 hourly,$9.0120 hourly
R5D Metal,r5d.metal,768.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,$7.2960 hourly,$4.5960 hourly,$1.9384 hourly,$11.7120 hourly,$9.0120 hourly
R5B Metal,r5b.metal,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,$7.5811 hourly,$4.7761 hourly,$2.1645 hourly,$11.9971 hourly,$9.1921 hourly
R5B 24xlarge,r5b.24xlarge,768.0 GiB,96 vCPUs,EBS only,25 Gigabit,$7.5811 hourly,$4.7761 hourly,$2.1213 hourly,$11.9971 hourly,$9.1921 hourly
X2IDN 16xlarge,x2idn.16xlarge,1024.0 GiB,64 vCPUs,1900 GB                 NVMe SSD,50 Gigabit,$7.6055 hourly,$4.6797 hourly,$1.8682 hourly,$10.5495 hourly,$7.6237 hourly
X2IEDN Eight Extra Large,x2iedn.8xlarge,1024.0 GiB,32 vCPUs,950 GB                 NVMe SSD,25 Gigabit,$7.6057 hourly,$4.6798 hourly,$1.9085 hourly,$9.0777 hourly,$6.1518 hourly
R5N Metal,r5n.metal,768.0 GiB,96 vCPUs,EBS only,100 Gigabit,$7.6320 hourly,$4.7880 hourly,$2.0120 hourly,$12.0480 hourly,$9.2040 hourly
R5N 24xlarge,r5n.24xlarge,768.0 GiB,96 vCPUs,EBS only,100 Gigabit,$7.6320 hourly,$4.7880 hourly,$1.9893 hourly,$12.0480 hourly,$9.2040 hourly
HPC7A 96xlarge,hpc7a.96xlarge,768.0 GiB,192 vCPUs,EBS only,300 Gigabit,$7.7252 hourly,$6.0836 hourly,unavailable,$16.5572 hourly,$14.9156 hourly,87.00,2085.00,10.88,260.62,500.00,11000.00
HPC7A 24xlarge,hpc7a.24xlarge,768.0 GiB,48 vCPUs,EBS only,300 Gigabit,$7.7252 hourly,$6.0836 hourly,unavailable,$9.9332 hourly,$8.2916 hourly,87.00,2085.00,10.88,260.62,500.00,11000.00
HPC7A 12xlarge,hpc7a.12xlarge,768.0 GiB,24 vCPUs,EBS only,300 Gigabit,$7.7252 hourly,$6.0836 hourly,unavailable,$8.8292 hourly,$7.1876 hourly,87.00,2085.00,10.88,260.62,500.00,11000.00
HPC7A 48xlarge,hpc7a.48xlarge,768.0 GiB,96 vCPUs,EBS only,300 Gigabit,$7.7252 hourly,$6.0836 hourly,unavailable,$12.1412 hourly,$10.4996 hourly,87.00,2085.00,10.88,260.62,500.00,11000.00
R7A 24xlarge,r7a.24xlarge,768.0 GiB,96 vCPUs,EBS only,37.5 Gigabit,$7.7664 hourly,$5.1375 hourly,$1.9660 hourly,$12.1824 hourly,$9.5535 hourly
C6IN Metal,c6in.metal,256.0 GiB,128 vCPUs,EBS only,200 Gigabit,$7.7952 hourly,$4.9110 hourly,$2.1722 hourly,$13.6832 hourly,$10.7990 hourly
C6IN 32xlarge,c6in.32xlarge,256.0 GiB,128 vCPUs,EBS only,200 Gigabit,$7.7952 hourly,$4.9110 hourly,$2.0217 hourly,$13.6832 hourly,$10.7990 hourly
M7A 32xlarge,m7a.32xlarge,512.0 GiB,128 vCPUs,EBS only,50 Gigabit,$7.8822 hourly,$5.2141 hourly,$2.1032 hourly,$13.7702 hourly,$11.1021 hourly
M6IDN 24xlarge,m6idn.24xlarge,384.0 GiB,96 vCPUs,5700 GB                 (4 * 1425 GB NVMe SSD),150 Gigabit,$7.9680 hourly,$5.0031 hourly,$2.1027 hourly,$12.3840 hourly,$9.4191 hourly
G4DN Metal,g4dn.metal,384.0 GiB,96 vCPUs,1800 GB                 (2 * 900 GB NVMe SSD),100 Gigabit,$8.3000 hourly,$5.2290 hourly,$2.5706 hourly,$12.7160 hourly,$9.6450 hourly
R5DN 24xlarge,r5dn.24xlarge,768.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),100 Gigabit,$8.4960 hourly,$5.3525 hourly,$2.2574 hourly,$12.9120 hourly,$9.7685 hourly
R5DN Metal,r5dn.metal,768.0 GiB,96 vCPUs,3600 GB                 (4 * 900 GB NVMe SSD),100 Gigabit,$8.4960 hourly,$5.3525 hourly,unavailable,$12.9120 hourly,$9.7685 hourly
R6I Metal,r6i.metal,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,$8.5760 hourly,$5.4029 hourly,$2.3893 hourly,$14.4640 hourly,$11.2909 hourly
R6I 32xlarge,r6i.32xlarge,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,$8.5760 hourly,$5.4029 hourly,$2.3551 hourly,$14.4640 hourly,$11.2909 hourly
I4I 24xlarge,i4i.24xlarge,768.0 GiB,96 vCPUs,22500 GB                 (6 * 3750 GB NVMe SSD),56.25 Gigabit,$8.6064 hourly,$5.6095 hourly,$2.2840 hourly,$13.0224 hourly,$10.0255 hourly
G5 Graphics and Machine Learning GPU 24xlarge,g5.24xlarge,384.0 GiB,96 vCPUs,3800 GB                 NVMe SSD,50 Gigabit,$8.6378 hourly,$5.4418 hourly,$2.3996 hourly,$13.0538 hourly,$9.8578 hourly
R6IN 24xlarge,r6in.24xlarge,768.0 GiB,96 vCPUs,EBS only,150 Gigabit,$8.9294 hourly,$5.6012 hourly,$2.3253 hourly,$13.3454 hourly,$10.0172 hourly
C7I 48xlarge,c7i.48xlarge,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,$9.1728 hourly,$6.0678 hourly,$2.4766 hourly,$18.0048 hourly,$14.8998 hourly
C7I Metal-48xl,c7i.metal-48xl,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,$9.1728 hourly,$6.0678 hourly,$2.5927 hourly,$18.0048 hourly,$14.8998 hourly
M6IN Metal,m6in.metal,512.0 GiB,128 vCPUs,EBS only,200 Gigabit,$9.4720 hourly,$5.9475 hourly,$2.4741 hourly,$15.3600 hourly,$11.8355 hourly
M6IN 32xlarge,m6in.32xlarge,512.0 GiB,128 vCPUs,EBS only,200 Gigabit,$9.4720 hourly,$5.9475 hourly,$2.4453 hourly,$15.3600 hourly,$11.8355 hourly
R6IDN 24xlarge,r6idn.24xlarge,768.0 GiB,96 vCPUs,5700 GB                 (4 * 1425 GB NVMe SSD),150 Gigabit,$9.9403 hourly,$6.2624 hourly,$2.6568 hourly,$14.3563 hourly,$10.6784 hourly
M7I Metal-48xl,m7i.metal-48xl,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,$10.2816 hourly,$6.8013 hourly,$2.7499 hourly,$19.1136 hourly,$15.6333 hourly
M7I 48xlarge,m7i.48xlarge,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,$10.2816 hourly,$6.8013 hourly,$2.7987 hourly,$19.1136 hourly,$15.6333 hourly
R7A 32xlarge,r7a.32xlarge,1024.0 GiB,128 vCPUs,EBS only,50 Gigabit,$10.3552 hourly,$6.8500 hourly,$2.7795 hourly,$16.2432 hourly,$12.7380 hourly
C7A Metal-48xl,c7a.metal-48xl,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,$10.5485 hourly,$6.9778 hourly,$2.7930 hourly,$19.3805 hourly,$15.8098 hourly
C7A 48xlarge,c7a.48xlarge,384.0 GiB,192 vCPUs,EBS only,50 Gigabit,$10.5485 hourly,$6.9778 hourly,$2.8072 hourly,$19.3805 hourly,$15.8098 hourly
M6IDN Metal,m6idn.metal,512.0 GiB,128 vCPUs,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,$10.6240 hourly,$6.6708 hourly,$2.6190 hourly,$16.5120 hourly,$12.5588 hourly
M6IDN 32xlarge,m6idn.32xlarge,512.0 GiB,128 vCPUs,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,$10.6240 hourly,$6.6708 hourly,$2.8858 hourly,$16.5120 hourly,$12.5588 hourly
I3EN 24xlarge,i3en.24xlarge,768.0 GiB,96 vCPUs,60000 GB                 (8 * 7500 GB NVMe SSD),100 Gigabit,$11.3760 hourly,$7.7740 hourly,$3.0311 hourly,$15.7920 hourly,$12.1900 hourly
I3EN Metal,i3en.metal,768.0 GiB,96 vCPUs,60000 GB                 (8 * 7500 GB NVMe SSD),100 Gigabit,$11.3760 hourly,$7.7740 hourly,$2.9620 hourly,$15.7920 hourly,$12.1900 hourly
X2IDN 24xlarge,x2idn.24xlarge,1536.0 GiB,96 vCPUs,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,$11.4083 hourly,$7.0195 hourly,$1.9470 hourly,$15.8242 hourly,$11.4355 hourly
I4I Metal,i4i.metal,1024.0 GiB,128 vCPUs,30000 GB                 (8 * 3750 GB NVMe SSD),75 Gigabit,$11.4750 hourly,$7.4790 hourly,$3.0704 hourly,$17.3630 hourly,$13.3670 hourly
I4I 32xlarge,i4i.32xlarge,1024.0 GiB,128 vCPUs,30000 GB                 (8 * 3750 GB NVMe SSD),75 Gigabit,$11.4752 hourly,$7.4794 hourly,$3.1714 hourly,$17.3632 hourly,$13.3674 hourly
M7A 48xlarge,m7a.48xlarge,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,$11.8234 hourly,$7.8212 hourly,$2.9890 hourly,$20.6554 hourly,$16.6532 hourly
M7A Metal-48xl,m7a.metal-48xl,768.0 GiB,192 vCPUs,EBS only,50 Gigabit,$11.8234 hourly,$7.8212 hourly,$3.3213 hourly,$20.6554 hourly,$16.6532 hourly
R6IN Metal,r6in.metal,1024.0 GiB,128 vCPUs,EBS only,200 Gigabit,$11.9059 hourly,$7.4682 hourly,$3.1333 hourly,$17.7939 hourly,$13.3562 hourly
R6IN 32xlarge,r6in.32xlarge,1024.0 GiB,128 vCPUs,EBS only,200 Gigabit,$11.9059 hourly,$7.4682 hourly,$3.2604 hourly,$17.7939 hourly,$13.3562 hourly
R6IDN Metal,r6idn.metal,1024.0 GiB,128 vCPUs,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,$13.2538 hourly,$8.3499 hourly,$3.5453 hourly,$19.1418 hourly,$14.2379 hourly
R6IDN 32xlarge,r6idn.32xlarge,1024.0 GiB,128 vCPUs,7600 GB                 (4 * 1900 GB NVMe SSD),200 Gigabit,$13.2538 hourly,$8.3499 hourly,$3.6513 hourly,$19.1418 hourly,$14.2379 hourly
R7I 48xlarge,r7i.48xlarge,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,$13.5072 hourly,$8.9350 hourly,$3.6877 hourly,$22.3392 hourly,$17.7670 hourly
R7I Metal-48xl,r7i.metal-48xl,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,$13.5072 hourly,$8.9350 hourly,$3.4587 hourly,$22.3392 hourly,$17.7670 hourly
G6 Graphics and Machine Learning GPU 48xlarge,g6.48xlarge,768.0 GiB,192 vCPUs,7520 GB                 (8 * 940 GB NVMe SSD),100 Gigabit,$14.1599 hourly,$9.2181 hourly,$1.4160 hourly,$22.9919 hourly,$18.0501 hourly
INF2 48xlarge,inf2.48xlarge,768.0 GiB,192 vCPUs,EBS only,100 Gigabit,$14.2794 hourly,$8.9960 hourly,$3.8571 hourly,unavailable,unavailable
X2IDN Metal,x2idn.metal,2048.0 GiB,128 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,$15.2110 hourly,$9.3593 hourly,unavailable,$21.0990 hourly,$15.2473 hourly
X2IDN 32xlarge,x2idn.32xlarge,2048.0 GiB,128 vCPUs,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,$15.2110 hourly,$9.3593 hourly,$2.3173 hourly,$21.0990 hourly,$15.2473 hourly
X2IEDN 16xlarge,x2iedn.16xlarge,2048.0 GiB,64 vCPUs,1900 GB                 NVMe SSD,50 Gigabit,$15.2115 hourly,$9.3596 hourly,$1.5212 hourly,$18.1555 hourly,$12.3036 hourly
R7A 48xlarge,r7a.48xlarge,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,$15.5328 hourly,$10.2750 hourly,$4.2923 hourly,$24.3648 hourly,$19.1070 hourly
R7A Metal-48xl,r7a.metal-48xl,1536.0 GiB,192 vCPUs,EBS only,50 Gigabit,$15.5328 hourly,$10.2750 hourly,$4.0336 hourly,$24.3648 hourly,$19.1070 hourly
